Date,Open,High,Low,Close
10/07/2008,"2,902.09","2,962.13","2,835.87","2,879.45"
10/06/2008,"3,082.24","3,082.24","2,840.38","2,868.97"
10/03/2008,"3,016.36","3,130.25","3,000.94","3,113.82"
10/02/2008,"3,070.36","3,113.87","3,003.58","3,007.51"
10/01/2008,"3,057.27","3,067.35","3,019.01","3,067.35"
09/30/2008,"2,993.94","3,041.36","2,924.13","3,038.20"
09/29/2008,"3,153.16","3,153.16","3,008.19","3,008.19"
09/26/2008,"3,176.82","3,185.27","3,120.57","3,156.46"
09/25/2008,"3,120.77","3,208.92","3,117.97","3,207.11"
09/24/2008,"3,150.21","3,159.34","3,110.58","3,119.83"
09/23/2008,"3,168.41","3,170.75","3,118.29","3,139.83"
09/22/2008,"3,251.56","3,277.45","3,181.77","3,181.77"
09/19/2008,"3,029.14","3,253.52","3,023.56","3,253.52"
09/18/2008,"3,014.50","3,071.16","2,978.45","3,000.83"
09/17/2008,"3,108.13","3,143.59","3,007.94","3,018.77"
09/16/2008,"3,121.77","3,127.85","3,027.78","3,088.43"
09/15/2008,"3,241.75","3,241.75","3,090.69","3,151.17"
09/12/2008,"3,247.06","3,278.02","3,224.03","3,278.02"
09/11/2008,"3,234.74","3,237.46","3,175.16","3,222.10"
09/10/2008,"3,261.69","3,269.59","3,215.52","3,242.02"
09/09/2008,"3,278.86","3,317.42","3,245.52","3,261.07"
09/08/2008,"3,215.44","3,329.68","3,215.44","3,284.12"
09/05/2008,"3,258.09","3,258.09","3,173.10","3,185.83"
09/04/2008,"3,371.08","3,380.01","3,272.41","3,274.82"
09/03/2008,"3,395.02","3,399.52","3,366.75","3,368.97"
09/02/2008,"3,362.75","3,431.08","3,344.69","3,416.46"
08/29/2008,"3,360.78","3,383.83","3,350.29","3,365.63"
08/28/2008,"3,295.38","3,372.34","3,274.54","3,359.42"
08/27/2008,"3,297.46","3,313.82","3,260.47","3,299.15"
08/26/2008,"3,272.68","3,308.64","3,245.26","3,297.42"
08/25/2008,"3,302.22","3,311.84","3,277.77","3,280.41"
08/22/2008,"3,257.21","3,314.16","3,246.34","3,312.41"
08/21/2008,"3,281.65","3,281.65","3,243.75","3,248.92"
08/20/2008,"3,289.13","3,303.90","3,264.86","3,295.28"
08/19/2008,"3,345.28","3,345.28","3,278.24","3,279.75"
08/18/2008,"3,360.38","3,397.30","3,332.64","3,366.09"
08/15/2008,"3,366.22","3,392.98","3,348.29","3,367.62"
08/14/2008,"3,365.06","3,384.83","3,325.65","3,356.84"
08/13/2008,"3,425.48","3,425.48","3,354.11","3,354.75"
08/12/2008,"3,434.89","3,456.81","3,415.18","3,436.85"
08/11/2008,"3,412.50","3,445.66","3,404.73","3,445.66"
08/08/2008,"3,384.02","3,414.02","3,346.24","3,408.48"
08/07/2008,"3,401.61","3,442.41","3,390.68","3,397.25"
08/06/2008,"3,395.11","3,413.18","3,377.99","3,409.02"
08/05/2008,"3,302.76","3,383.11","3,291.24","3,380.09"
08/04/2008,"3,315.92","3,320.35","3,279.56","3,289.26"
