Date,Open,High,Low,Close,,,,,,,Date SP,Date EUR,,,,
17.08.2009,"979,73","998,18","998,18","978,51",,,,,,,17.08.2009,08/17/2009,,,,
14.08.2009,"1.004,09","1.012,23","1.012,60","994,60",,,,,,,14.08.2009,08/14/2009,,,,
13.08.2009,"1.012,73","1.005,86","1.013,14","1.000,82",,,,,,,13.08.2009,08/13/2009,,,,
12.08.2009,"1.005,81","994,00","1.012,78","993,36",,,,,,,12.08.2009,08/12/2009,,,,
11.08.2009,"994,35","1.005,77","1.005,77","992,40",,,,,,,11.08.2009,08/11/2009,,,,
10.08.2009,"1.007,10","1.008,89","1.010,12","1.000,99",,,,,,,10.08.2009,08/10/2009,,,,
07.08.2009,"1.010,48","999,83","1.018,00","999,83",,,,,,,07.08.2009,08/07/2009,,,,
06.08.2009,"997,08","1.004,06","1.008,00","992,49",,,,,,,06.08.2009,08/06/2009,,,,
05.08.2009,"1.002,72","1.005,41","1.006,64","994,31",,,,,,,05.08.2009,08/05/2009,,,,
04.08.2009,"1.005,65","1.001,41","1.007,12","996,68",,,,,,,04.08.2009,08/04/2009,,,,
03.08.2009,"1.002,63","990,22","1.003,61","990,22",,,,,,,03.08.2009,08/03/2009,,,,
31.07.2009,"987,48","986,80","993,18","982,85",,,,,,,31.07.2009,07/31/2009,,,,
30.07.2009,"986,75","976,01","996,68","976,01",,,,,,,30.07.2009,07/30/2009,,,,
29.07.2009,"975,15","977,66","977,76","968,65",,,,,,,29.07.2009,07/29/2009,,,,
28.07.2009,"979,62","981,48","982,35","969,35",,,,,,,28.07.2009,07/28/2009,,,,
27.07.2009,"982,18","978,63","982,49","972,29",,,,,,,27.07.2009,07/27/2009,,,,
24.07.2009,"979,26","972,16","979,79","965,95",,,,,,,24.07.2009,07/24/2009,,,,
23.07.2009,"976,29","954,07","979,42","953,27",,,,,,,23.07.2009,07/23/2009,,,,
22.07.2009,"954,07","953,40","959,83","947,75",,,,,,,22.07.2009,07/22/2009,,,,
21.07.2009,"954,58","951,97","956,53","943,22",,,,,,,21.07.2009,07/21/2009,,,,
20.07.2009,"951,13","942,07","951,62","940,99",,,,,,,20.07.2009,07/20/2009,,,,
17.07.2009,"940,38","940,56","941,89","934,65",,,,,,,17.07.2009,07/17/2009,,,,
16.07.2009,"940,74","930,17","943,96","927,45",,,,,,,16.07.2009,07/16/2009,,,,
15.07.2009,"932,68","910,15","933,95","910,15",,,,,,,15.07.2009,07/15/2009,,,,
14.07.2009,"905,84","900,77","905,84","896,50",,,,,,,14.07.2009,07/14/2009,,,,
13.07.2009,"901,05","879,57","901,05","875,32",,,,,,,13.07.2009,07/13/2009,,,,
10.07.2009,"879,13","880,03","883,57","872,81",,,,,,,10.07.2009,07/10/2009,,,,
09.07.2009,"882,68","881,28","887,86","878,45",,,,,,,09.07.2009,07/09/2009,,,,
08.07.2009,"879,56","881,90","886,80","869,32",,,,,,,08.07.2009,07/08/2009,,,,
07.07.2009,"881,03","898,60","898,60","879,93",,,,,,,07.07.2009,07/07/2009,,,,
06.07.2009,"898,72","894,27","898,72","886,36",,,,,,,06.07.2009,07/06/2009,,,,
02.07.2009,"896,42","921,24","921,24","896,42",,,,,,,02.07.2009,07/02/2009,,,,
01.07.2009,"923,33","920,82","931,92","920,82",,,,,,,01.07.2009,07/01/2009,,,,
30.06.2009,"919,32","927,15","930,01","912,86",,,,,,,30.06.2009,06/30/2009,,,,
29.06.2009,"927,23","919,86","927,99","916,18",,,,,,,29.06.2009,06/29/2009,,,,
26.06.2009,"918,90","918,84","922,00","913,03",,,,,,,26.06.2009,06/26/2009,,,,
25.06.2009,"920,26","899,45","921,42","896,27",,,,,,,25.06.2009,06/25/2009,,,,
24.06.2009,"900,94","896,31","910,85","896,31",,,,,,,24.06.2009,06/24/2009,,,,
23.06.2009,"895,10","893,46","898,69","888,86",,,,,,,23.06.2009,06/23/2009,,,,
22.06.2009,"893,04","918,13","918,13","893,04",,,,,,,22.06.2009,06/22/2009,,,,
19.06.2009,"921,23","919,96","927,09","915,80",,,,,,,19.06.2009,06/19/2009,,,,
18.06.2009,"918,37","910,86","921,93","907,94",,,,,,,18.06.2009,06/18/2009,,,,
17.06.2009,"910,71","911,89","918,44","903,78",,,,,,,17.06.2009,06/17/2009,,,,
16.06.2009,"911,97","925,60","928,00","911,60",,,,,,,16.06.2009,06/16/2009,,,,
15.06.2009,"923,72","942,45","942,45","919,65",,,,,,,15.06.2009,06/15/2009,,,,
12.06.2009,"946,21","943,44","946,30","935,66",,,,,,,12.06.2009,06/12/2009,,,,
11.06.2009,"944,89","939,04","956,23","939,04",,,,,,,11.06.2009,06/11/2009,,,,
10.06.2009,"939,15","942,73","949,77","927,97",,,,,,,10.06.2009,06/10/2009,,,,
09.06.2009,"942,43","940,35","946,92","936,15",,,,,,,09.06.2009,06/09/2009,,,,
08.06.2009,"939,14","938,12","946,33","926,44",,,,,,,08.06.2009,06/08/2009,,,,
05.06.2009,"940,09","945,67","951,69","934,13",,,,,,,05.06.2009,06/05/2009,,,,
04.06.2009,"942,46","932,49","942,47","929,32",,,,,,,04.06.2009,06/04/2009,,,,
03.06.2009,"931,76","942,51","942,51","923,85",,,,,,,03.06.2009,06/03/2009,,,,
02.06.2009,"944,74","942,87","949,38","938,46",,,,,,,02.06.2009,06/02/2009,,,,
01.06.2009,"942,87","923,26","947,77","923,26",,,,,,,01.06.2009,06/01/2009,,,,
29.05.2009,"919,14","907,02","920,02","903,56",,,,,,,29.05.2009,05/29/2009,,,,
28.05.2009,"906,83","892,96","909,45","887,60",,,,,,,28.05.2009,05/28/2009,,,,
27.05.2009,"893,06","909,95","913,84","891,87",,,,,,,27.05.2009,05/27/2009,,,,
26.05.2009,"910,33","887,00","911,76","881,46",,,,,,,26.05.2009,05/26/2009,,,,
22.05.2009,"887,00","888,68","896,65","883,75",,,,,,,22.05.2009,05/22/2009,,,,
21.05.2009,"888,33","900,42","900,42","879,61",,,,,,,21.05.2009,05/21/2009,,,,
20.05.2009,"903,47","908,62","924,60","901,37",,,,,,,20.05.2009,05/20/2009,,,,
19.05.2009,"908,13","909,67","916,39","905,22",,,,,,,19.05.2009,05/19/2009,,,,
18.05.2009,"909,71","886,07","910,00","886,07",,,,,,,18.05.2009,05/18/2009,,,,
15.05.2009,"882,88","892,76","896,97","878,94",,,,,,,15.05.2009,05/15/2009,,,,
14.05.2009,"893,07","884,24","898,36","882,52",,,,,,,14.05.2009,05/14/2009,,,,
13.05.2009,"883,92","905,40","905,40","882,80",,,,,,,13.05.2009,05/13/2009,,,,
12.05.2009,"908,35","910,52","915,57","896,46",,,,,,,12.05.2009,05/12/2009,,,,
11.05.2009,"909,24","922,99","922,99","908,68",,,,,,,11.05.2009,05/11/2009,,,,
08.05.2009,"929,23","909,03","930,17","909,03",,,,,,,08.05.2009,05/08/2009,,,,
07.05.2009,"907,39","919,58","929,58","901,36",,,,,,,07.05.2009,05/07/2009,,,,
06.05.2009,"919,53","903,95","920,28","903,95",,,,,,,06.05.2009,05/06/2009,,,,
